,crsp_fundno,mtna_1,mtna_2,mtna_3,mtna_4,mtna_5,mtna_6,mtna_7,mtna_8,mtna_9,mtna_10,mtna_11,mtna_12,mtna_13,mtna_14,mtna_15,mtna_16,mtna_17,mtna_18,mtna_19,mtna_20,mtna_21,mtna_22,mtna_23,mtna_24,mtna_25,mtna_26,mtna_27,mtna_28,mtna_29,mtna_30,mtna_31,mtna_32,mtna_33,mtna_34,mtna_35,mtna_36,mret_1,mret_2,mret_3,mret_4,mret_5,mret_6,mret_7,mret_8,mret_9,mret_10,mret_11,mret_12,mret_13,mret_14,mret_15,mret_16,mret_17,mret_18,mret_19,mret_20,mret_21,mret_22,mret_23,mret_24,mret_25,mret_26,mret_27,mret_28,mret_29,mret_30,mret_31,mret_32,mret_33,mret_34,mret_35,mret_36,mnav_1,mnav_2,mnav_3,mnav_4,mnav_5,mnav_6,mnav_7,mnav_8,mnav_9,mnav_10,mnav_11,mnav_12,mnav_13,mnav_14,mnav_15,mnav_16,mnav_17,mnav_18,mnav_19,mnav_20,mnav_21,mnav_22,mnav_23,mnav_24,mnav_25,mnav_26,mnav_27,mnav_28,mnav_29,mnav_30,mnav_31,mnav_32,mnav_33,mnav_34,mnav_35,mnav_36,lipper_obj_cd
0,2755,10.2,11.1,11.4,11.8,12.6,12.5,12.6,14.0,15.7,17.7,19.5,20.8,21.3,22.9,22.7,22.4,23.1,21.2,21.7,21.5,21.7,21.6,22.4,22.2,22.4,22.1,22.0,18.9,17.6,16.1,15.9,15.4,15.7,15.9,16.1,16.3,0.028336,0.030222,-0.018862,-0.010563,0.00089,0.018327,-0.043706,0.007313,0.009201,0.021602,0.044053,0.035488,-0.018806,0.024167,-0.009299,-0.025493,0.019409,0.008284,0.021382,-0.003221,0.007671,-0.005613,0.032258,-0.002867,0.029851,-0.006865,0.011791,0.012918,-0.015754,-0.008463,0.0,0.019246,0.024301,0.028846,0.021567,0.008507,11.25,11.59,11.36,11.24,11.25,11.44,10.94,11.02,11.11,11.35,11.85,12.23,12.0,12.29,12.16,11.85,12.08,12.16,12.42,12.38,12.47,12.4,12.8,12.73,13.11,13.02,13.16,13.33,13.12,12.99,12.99,13.24,13.52,13.91,14.21,12.7,G
1,2761,2363.7,2402.8,2367.1,2363.3,2372.3,2380.1,2248.7,2231.8,2224.1,2181.9,2201.7,2125.4,2076.5,2093.5,2038.4,1798.5,1847.8,1798.4,1864.6,1873.9,1856.6,1726.9,1787.8,1576.1,1587.1,1548.9,1523.1,1495.1,1396.3,1346.4,1271.0,1261.2,1239.8,1253.9,1260.8,1229.9,0.005484,0.018182,-0.005676,-0.004045,0.017148,0.010209,-0.053187,0.009749,-0.000705,-0.004606,0.018047,0.035072,-0.014085,0.015625,-0.018474,-0.013447,0.033167,-0.007268,0.061197,0.002089,0.000988,-0.022926,0.033276,-0.011409,0.025555,-0.014706,0.014527,0.00491,-0.026059,-0.000333,-0.010883,0.011003,0.020792,0.036125,0.015848,0.005557,22.0,22.4,22.25,22.16,22.54,22.75,21.54,21.75,21.71,21.61,22.0,22.72,22.4,22.75,22.31,22.01,22.74,22.55,23.93,23.98,23.99,23.44,24.22,23.87,24.48,24.12,24.44,24.56,23.92,23.89,23.63,23.89,24.36,25.24,25.64,25.56,G
2,2762,996.7,1018.5,1034.0,1029.5,1054.3,1078.3,1020.8,1026.7,1026.1,1018.7,1027.0,1062.4,1034.6,1044.5,1027.3,1005.0,1027.4,1014.1,1064.8,1021.7,1017.9,995.1,996.3,959.1,978.1,921.5,922.8,913.3,862.5,846.3,828.3,823.0,829.3,849.1,838.4,820.9,0.005048,0.018265,-0.006278,-0.004513,0.017226,0.009804,-0.052957,0.00932,-0.001385,-0.004623,0.018114,0.034798,-0.014128,0.014778,-0.0181,-0.013939,0.032832,-0.007511,0.06097,0.002097,0.000531,-0.023013,0.032976,-0.011563,0.02521,-0.015164,0.014437,0.004926,-0.026552,-0.00042,-0.011335,0.01104,0.020588,0.035406,0.016302,0.005155,21.9,22.3,22.16,22.06,22.44,22.66,21.46,21.66,21.63,21.53,21.92,22.65,22.33,22.66,22.24,21.93,22.65,22.47,23.84,23.89,23.9,23.35,24.12,23.8,24.4,24.03,24.36,24.48,23.83,23.82,23.55,23.81,24.29,25.15,25.56,25.49,G
3,2771,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.005062,0.017857,-0.006298,-0.004527,0.016826,0.009839,-0.053144,0.009355,-0.001854,-0.005107,0.018199,0.034425,-0.014634,0.014851,-0.018625,-0.013556,0.032524,-0.007542,0.060349,0.001686,0.000842,-0.023129,0.032716,-0.012088,0.024895,-0.014821,0.014208,0.004532,-0.026661,-0.000843,-0.010966,0.010661,0.020253,0.035567,0.015575,0.00521,21.84,22.23,22.09,21.99,22.36,22.58,21.38,21.58,21.54,21.43,21.82,22.55,22.22,22.55,22.13,21.83,22.54,22.37,23.72,23.76,23.78,23.23,23.99,23.7,24.29,23.93,24.27,24.38,23.73,23.71,23.45,23.7,24.18,25.04,25.43,25.39,G
4,2777,2.3,2.4,2.4,2.4,2.4,2.7,2.6,2.5,2.7,2.7,2.8,2.9,3.0,3.2,3.5,3.8,4.1,4.6,7.6,9.2,12.6,13.1,16.2,18.1,21.6,24.2,27.6,29.7,28.6,31.5,30.7,32.0,32.6,34.7,35.4,34.9,0.006135,0.020325,0.012948,-0.046214,0.013402,0.028484,-0.036597,-0.01232,0.069647,0.001944,0.066925,0.043636,-0.025261,0.044683,-0.041916,-0.045536,0.081384,0.022491,0.031303,-0.029532,0.022823,-0.018182,0.042929,0.012413,0.030327,0.009295,0.039908,0.004428,-0.070536,0.002372,-0.040221,-0.004108,0.044554,0.033175,0.020642,-0.012734,9.84,10.04,10.17,9.7,9.83,10.11,9.74,9.62,10.29,10.31,11.0,11.48,11.19,11.69,11.2,10.69,11.56,11.82,12.19,11.83,12.1,11.88,12.39,12.53,12.91,13.03,13.55,13.61,12.65,12.68,12.17,12.12,12.66,13.08,13.35,13.18,G
5,2813,21.7,21.9,21.5,21.0,21.4,21.6,20.5,20.3,19.1,19.6,20.3,21.2,20.7,20.7,20.3,20.0,20.5,20.3,21.1,20.5,20.5,20.5,21.3,21.1,21.3,21.4,21.5,21.8,20.9,20.7,20.5,21.4,21.8,22.0,22.1,22.4,0.029268,0.011848,-0.020297,-0.023904,0.022041,0.011182,-0.052133,-0.01,0.0,0.025253,0.036946,0.05004,-0.02717,0.008534,-0.021538,-0.011006,0.025437,-0.0103,0.039185,-0.015837,0.0,-0.001533,0.03914,-0.004431,0.014837,0.006579,0.010893,0.012931,-0.036879,-0.009573,-0.005948,0.043381,0.030824,0.00904,0.007581,0.015732,12.66,12.81,12.55,12.25,12.52,12.66,12.0,11.88,11.88,12.18,12.63,13.25,12.89,13.0,12.72,12.58,12.9,12.76,13.26,13.05,13.05,13.03,13.54,13.48,13.68,13.77,13.92,14.1,13.58,13.45,13.37,13.95,14.38,14.51,14.62,14.85,G
6,2815,41.9,42.5,41.9,41.6,42.4,42.8,40.6,39.6,39.0,39.0,40.0,41.5,40.5,41.0,39.6,39.3,40.7,40.5,42.8,42.5,42.5,41.5,41.9,41.4,42.6,42.6,43.0,40.1,35.5,35.4,27.9,29.0,26.0,22.8,23.3,23.4,0.039589,0.012694,-0.013231,-0.008469,0.018505,0.009783,-0.050519,-0.021866,0.014903,0.000734,0.024945,0.041016,-0.025535,0.019122,-0.034051,-0.007194,0.036957,-0.004119,0.062456,-0.001982,-0.001324,-0.022531,0.033898,-0.010839,0.029841,0.0,0.013522,0.004447,-0.039216,-0.001317,-0.005933,0.040451,0.012747,0.027061,0.020833,0.009604,14.18,14.36,14.17,14.05,14.31,14.45,13.72,13.42,13.62,13.63,13.97,14.49,14.12,14.39,13.9,13.8,14.31,14.25,15.14,15.11,15.09,14.75,15.25,15.08,15.53,15.53,15.74,15.81,15.19,15.17,15.08,15.69,15.89,16.32,16.66,16.82,G
7,2816,0.5,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.9,1.9,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,0.039086,0.012775,-0.013315,-0.009233,0.018638,0.009852,-0.051568,-0.022043,0.015778,-0.00074,0.025167,0.040881,-0.025712,0.019258,-0.03429,-0.007246,0.035766,-0.003524,0.061528,-0.001999,-0.001335,-0.022727,0.033516,-0.011251,0.029451,0.0,0.013654,0.003849,-0.038978,-0.00133,-0.006658,0.040885,0.012234,0.026718,0.021066,0.008495,14.09,14.27,14.08,13.95,14.21,14.35,13.61,13.31,13.52,13.51,13.85,14.39,14.02,14.29,13.8,13.7,14.19,14.14,15.01,14.98,14.96,14.62,15.11,14.94,15.38,15.38,15.59,15.65,15.04,15.02,14.92,15.53,15.72,16.14,16.48,16.62,G
8,2818,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.039010,0.012274,-0.014265,-0.009407,0.017531,0.009332,-0.05192,-0.022506,0.014582,-0.000756,0.024224,0.04065,-0.026278,0.018235,-0.0351,-0.008166,0.035928,-0.005058,0.061728,-0.002736,-0.002058,-0.023368,0.033075,-0.01158,0.028256,0.0,0.012064,0.003974,-0.040237,-0.001375,-0.006882,0.039501,0.012,0.02635,0.019897,0.008181,13.85,14.02,13.82,13.69,13.93,14.06,13.33,13.03,13.22,13.21,13.53,14.08,13.71,13.96,13.47,13.36,13.84,13.77,14.62,14.58,14.55,14.21,14.68,14.51,14.92,14.92,15.1,15.16,14.55,14.53,14.43,15.0,15.18,15.58,15.89,16.02,G
9,2828,0.3,0.4,0.4,0.5,0.5,1.5,1.5,1.7,1.8,1.8,1.9,2.0,2.0,2.0,1.9,1.8,1.9,1.9,2.0,2.0,1.9,1.1,1.1,1.1,1.1,1.1,1.1,1.0,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.038981,0.011544,-0.014265,-0.009407,0.018262,0.008608,-0.051209,-0.022489,0.014571,-0.000756,0.024206,0.039882,-0.026278,0.018235,-0.0351,-0.007424,0.035153,-0.004335,0.061684,-0.003418,-0.001372,-0.024038,0.033779,-0.012253,0.028946,-0.00067,0.012735,0.003309,-0.039578,-0.00206,-0.006882,0.039501,0.012,0.02635,0.019897,0.008181,13.86,14.02,13.82,13.69,13.94,14.06,13.34,13.04,13.23,13.22,13.54,14.08,13.71,13.96,13.47,13.37,13.84,13.78,14.63,14.58,14.56,14.21,14.69,14.51,14.93,14.92,15.11,15.16,14.56,14.53,14.43,15.0,15.18,15.58,15.89,16.02,G
