,crsp_fundno,mtna_1,mtna_2,mtna_3,mtna_4,mtna_5,mtna_6,mtna_7,mtna_8,mtna_9,mtna_10,mtna_11,mtna_12,mtna_13,mtna_14,mtna_15,mtna_16,mtna_17,mtna_18,mtna_19,mtna_20,mtna_21,mtna_22,mtna_23,mtna_24,mtna_25,mtna_26,mtna_27,mtna_28,mtna_29,mtna_30,mtna_31,mtna_32,mtna_33,mtna_34,mtna_35,mtna_36,mret_1,mret_2,mret_3,mret_4,mret_5,mret_6,mret_7,mret_8,mret_9,mret_10,mret_11,mret_12,mret_13,mret_14,mret_15,mret_16,mret_17,mret_18,mret_19,mret_20,mret_21,mret_22,mret_23,mret_24,mret_25,mret_26,mret_27,mret_28,mret_29,mret_30,mret_31,mret_32,mret_33,mret_34,mret_35,mret_36,mnav_1,mnav_2,mnav_3,mnav_4,mnav_5,mnav_6,mnav_7,mnav_8,mnav_9,mnav_10,mnav_11,mnav_12,mnav_13,mnav_14,mnav_15,mnav_16,mnav_17,mnav_18,mnav_19,mnav_20,mnav_21,mnav_22,mnav_23,mnav_24,mnav_25,mnav_26,mnav_27,mnav_28,mnav_29,mnav_30,mnav_31,mnav_32,mnav_33,mnav_34,mnav_35,mnav_36,lipper_obj_cd
0,2769,971.7,981.0,981.1,968.2,988.2,999.0,927.9,905.5,924.6,962.5,992.0,1031.7,996.5,991.8,973.2,930.4,973.1,956.5,980.4,932.1,902.5,890.0,873.0,826.0,795.9,601.8,596.1,564.8,527.3,493.7,464.1,463.2,466.6,447.4,434.5,394.4,0.016386,-0.000896,-0.01255,-0.015433,0.016598,0.017234,-0.055729,-0.014636,0.011979,0.030303,0.027574,0.036571,-0.039758,-0.00045,-0.014419,-0.032907,0.046314,0.001581,0.046459,-0.031466,0.00089,0.007559,0.034863,-0.003762,0.009421,0.007556,0.01985,-0.004758,-0.043025,-0.014986,-0.009221,0.021405,0.023235,0.016028,0.002191,0.00651,22.33,22.31,22.03,21.69,22.05,22.43,21.18,20.87,21.12,21.76,22.36,23.14,22.22,22.21,21.88,21.16,22.14,22.17,23.2,22.47,22.49,22.66,23.45,22.29,22.5,22.67,23.12,23.01,22.02,21.69,21.49,21.95,22.46,22.82,22.87,20.31,GI
1,2770,294.6,299.5,297.9,335.0,340.6,363.4,336.0,342.1,348.5,358.8,369.6,371.7,358.4,322.0,318.8,445.1,468.7,471.1,492.3,456.2,450.0,449.8,461.2,452.3,470.6,466.7,473.0,470.7,447.5,437.2,435.0,438.9,450.0,460.4,455.8,439.3,0.016674,-0.00133,-0.011984,-0.015723,0.017344,0.017497,-0.055556,-0.014472,0.012316,0.030416,0.028156,0.036579,-0.03971,0.0,-0.014239,-0.032942,0.046664,0.00197,0.04675,-0.031051,0.000872,0.007898,0.035263,-0.003635,0.009735,0.00745,0.020233,-0.004693,-0.042435,-0.01477,-0.009091,0.022018,0.023347,0.016249,0.002593,0.006409,22.56,22.53,22.26,21.91,22.29,22.68,21.42,21.11,21.37,22.02,22.64,23.42,22.49,22.49,22.16,21.43,22.43,22.46,23.51,22.78,22.79,22.97,23.78,22.6,22.82,22.99,23.44,23.33,22.34,22.0,21.8,22.28,22.77,23.14,23.2,20.6,GI
2,2772,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.6,0.7,0.7,1.1,1.1,1.1,1.1,1.1,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.6,1.6,1.7,1.7,1.7,1.7,0.016431,-0.001347,-0.01259,-0.015938,0.016659,0.017296,-0.055928,-0.015166,0.012031,0.029957,0.027701,0.036438,-0.040365,-0.000452,-0.01448,-0.033058,0.046059,0.001362,0.046238,-0.031629,0.000447,0.007603,0.035064,-0.004217,0.009481,0.007156,0.019982,-0.005224,-0.042888,-0.015546,-0.009289,0.021566,0.022946,0.015702,0.002208,0.00611,22.27,22.24,21.96,21.61,21.97,22.35,21.1,20.78,21.03,21.66,22.26,23.04,22.11,22.1,21.78,21.06,22.03,22.06,23.08,22.35,22.36,22.53,23.32,22.15,22.36,22.52,22.97,22.85,21.87,21.53,21.33,21.79,22.29,22.64,22.69,20.12,GI
3,2801,214.2,218.6,217.5,217.0,216.5,220.5,216.7,219.8,224.8,229.8,240.8,247.7,245.5,253.0,252.5,259.6,276.3,280.6,290.4,288.0,96.4,95.5,97.9,97.8,95.6,94.7,97.1,99.9,96.8,97.0,98.9,100.5,102.5,103.7,106.4,107.4,0.012464,0.019886,-0.013058,-0.000943,-0.002833,0.020239,-0.017691,0.016114,0.013415,0.020314,0.047059,0.030757,-0.011785,0.029813,-0.007989,-0.020067,0.017065,0.004604,0.031014,-0.007317,0.009964,-0.011391,0.023868,0.004779,0.029364,0.007132,0.013147,0.031153,-0.022659,0.000658,0.018619,0.015232,0.024505,0.033824,0.024893,0.016899,10.56,10.77,10.6,10.59,10.56,10.74,10.55,10.72,10.83,11.05,11.57,11.88,11.74,12.09,11.96,11.72,11.92,11.93,12.3,12.21,12.29,12.15,12.44,12.26,12.62,12.71,12.84,13.24,12.94,12.89,13.13,13.33,13.6,14.06,14.41,14.03,GI
4,2899,2056.3,2055.2,1993.5,1992.7,1968.6,1983.8,1899.1,1858.4,1853.2,1845.2,1871.1,1900.7,1831.0,1851.2,1788.6,1730.0,1725.4,1706.2,1739.8,1721.8,1707.6,1640.6,1663.8,1644.3,1670.1,1649.2,1648.1,4968.0,4774.7,4700.7,4669.3,4710.8,4765.9,4816.2,4874.4,4873.2,0.010093,0.018318,-0.02453,0.010059,0.006639,0.018961,-0.031553,-0.003342,0.008382,0.010806,0.028783,0.032854,-0.021858,0.03352,-0.017761,-0.021226,0.012048,0.004762,0.034755,-0.003817,0.007663,-0.022814,0.039689,0.006125,0.036787,0.002896,0.016606,0.008523,-0.023944,-0.002886,0.006512,0.023724,0.025983,0.023956,0.023396,0.011542,12.01,12.23,11.93,12.05,12.13,12.36,11.97,11.93,12.03,12.16,12.51,12.81,12.53,12.95,12.72,12.45,12.6,12.66,13.1,13.05,13.15,12.85,13.36,13.32,13.81,13.85,14.08,14.2,13.86,13.82,13.91,14.24,14.61,14.96,15.31,15.38,GI
5,2909,81.5,82.9,73.1,71.8,72.6,74.7,69.6,72.4,71.8,70.7,73.3,75.3,73.2,69.2,67.6,65.5,66.2,65.3,66.7,64.1,64.1,62.7,65.0,64.5,65.2,64.0,64.8,64.6,62.3,61.0,60.5,60.8,61.4,44.5,44.7,45.5,0.021019,0.026128,-0.003858,-0.021689,0.0,0.028504,-0.060816,-0.004918,0.009061,0.009796,0.052546,0.037634,-0.017024,0.016566,-0.014074,-0.015778,0.019084,0.008989,0.028211,-0.016606,0.008076,-0.01311,0.039114,0.020597,0.036186,-0.00403,0.020904,0.009908,-0.032047,-0.013514,0.003425,0.012287,0.024949,0.030921,0.011487,0.029284,12.63,12.96,12.91,12.63,12.63,12.99,12.2,12.14,12.25,12.37,13.02,13.51,13.28,13.5,13.31,13.1,13.35,13.47,13.85,13.62,13.73,13.55,14.08,14.37,14.89,14.83,15.14,15.29,14.8,14.6,14.65,14.83,15.2,15.67,15.85,15.46,GI
6,2914,2.7,3.2,3.4,3.8,4.5,5.3,6.1,7.2,7.8,3.3,3.6,3.8,3.9,3.8,3.9,4.3,42.2,45.5,49.3,51.6,54.0,54.7,75.1,76.9,82.0,83.4,87.1,102.6,102.3,103.5,106.5,111.2,115.7,123.2,129.0,133.1,0.010664,0.017857,-0.023126,0.009796,0.007276,0.019262,-0.031496,-0.001626,0.008143,0.012116,0.027933,0.034423,-0.02207,0.033463,-0.016566,-0.02144,0.01252,0.00541,0.035357,-0.003712,0.008197,-0.022912,0.040847,0.006408,0.03663,0.003534,0.016901,0.009003,-0.024022,-0.00211,0.007047,0.023793,0.026658,0.023968,0.024707,0.011942,12.32,12.54,12.25,12.37,12.46,12.7,12.3,12.28,12.38,12.53,12.88,13.14,12.85,13.28,13.06,12.78,12.94,13.01,13.47,13.42,13.53,13.22,13.76,13.65,14.15,14.2,14.44,14.57,14.22,14.19,14.29,14.63,15.02,15.38,15.76,15.79,GI
7,2916,0.7,0.7,0.8,0.8,0.9,1.0,0.9,0.9,0.9,1.0,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.3,1.3,1.3,1.5,1.5,1.5,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.8,1.9,0.020276,0.026232,-0.004648,-0.021012,0.0,0.028617,-0.061051,-0.005761,0.009106,0.009844,0.05199,0.037838,-0.017113,0.015897,-0.014158,-0.016629,0.019216,0.00905,0.027653,-0.016727,0.008136,-0.01394,0.039435,0.020043,0.036491,-0.004739,0.021088,0.009993,-0.032982,-0.013643,0.003458,0.011716,0.025204,0.0299,0.011613,0.029416,12.58,12.91,12.85,12.58,12.58,12.94,12.15,12.08,12.19,12.31,12.95,13.44,13.21,13.42,13.23,13.01,13.26,13.38,13.75,13.52,13.63,13.44,13.97,14.25,14.77,14.7,15.01,15.16,14.66,14.46,14.51,14.68,15.05,15.5,15.68,15.32,GI
8,2918,2.2,2.2,2.2,2.3,2.3,2.4,2.3,2.3,2.5,2.5,2.6,2.8,2.8,2.9,2.9,2.6,2.7,2.7,2.8,2.9,2.9,2.8,2.7,2.8,2.9,2.9,3.1,4.7,4.7,4.7,4.9,5.1,5.3,5.2,5.3,5.6,0.010127,0.017544,-0.024631,0.009259,0.006672,0.019056,-0.031707,-0.003359,0.008425,0.01086,0.028099,0.032312,-0.021944,0.032853,-0.017067,-0.022099,0.012107,0.004785,0.034921,-0.004601,0.007704,-0.0237,0.039937,0.005832,0.036925,0.002907,0.015942,0.007846,-0.024062,-0.002901,0.006545,0.023121,0.02613,0.0234,0.023537,0.011724,11.97,12.18,11.88,11.99,12.07,12.3,11.91,11.87,11.97,12.1,12.44,12.76,12.48,12.89,12.67,12.39,12.54,12.6,13.04,12.98,13.08,12.77,13.28,13.27,13.76,13.8,14.02,14.13,13.79,13.75,13.84,14.16,14.53,14.87,15.22,15.32,GI
9,2939,143.9,149.3,152.5,152.0,162.9,168.2,157.5,156.7,158.5,150.4,152.5,157.8,154.1,148.8,144.3,141.0,142.6,143.5,146.9,142.4,142.1,129.5,133.5,135.1,130.9,130.3,132.6,133.0,127.4,136.6,124.3,123.9,125.5,126.8,126.7,128.4,0.020210,0.026149,-0.003861,-0.021705,0.0,0.029319,-0.061586,-0.004922,0.008244,0.01063,0.05178,0.037692,-0.016308,0.015825,-0.013353,-0.016541,0.019113,0.009002,0.028253,-0.017354,0.00883,-0.013858,0.039941,0.019915,0.03696,-0.004707,0.020946,0.010589,-0.032089,-0.013532,0.003429,0.012303,0.024983,0.030303,0.011509,0.02934,12.62,12.95,12.9,12.62,12.62,12.99,12.19,12.13,12.23,12.36,13.0,13.49,13.27,13.48,13.3,13.08,13.33,13.45,13.83,13.59,13.71,13.52,14.06,14.34,14.87,14.8,15.11,15.27,14.78,14.58,14.63,14.81,15.18,15.64,15.82,15.43,GI
